time,z,vz
1.000000000000000021e-03,2.499901933500000006e-01,-9.806650000000000089e-03
2.000000000000000042e-03,2.499705800500000019e-01,-1.961330000000000018e-02
3.000000000000000062e-03,2.499411601000000038e-01,-2.941995000000000027e-02
4.000000000000000083e-03,2.499019335000000064e-01,-3.922660000000000036e-02
5.000000000000000104e-03,2.498529002500000096e-01,-4.903325000000000045e-02
6.000000000000000125e-03,2.497940603500000134e-01,-5.883990000000000054e-02
7.000000000000000146e-03,2.497254138000000179e-01,-6.864655000000000062e-02
8.000000000000000167e-03,2.496469606000000230e-01,-7.845320000000000071e-02
9.000000000000001055e-03,2.495587007500000287e-01,-8.825985000000000080e-02
1.000000000000000194e-02,2.494606342500000351e-01,-9.806650000000000089e-02
1.100000000000000283e-02,2.493527611000000421e-01,-1.078731500000000010e-01
1.200000000000000372e-02,2.492350813000000498e-01,-1.176798000000000011e-01
1.300000000000000461e-02,2.491075948500000581e-01,-1.274864500000000012e-01
1.400000000000000550e-02,2.489703017500000670e-01,-1.372931000000000012e-01
1.500000000000000638e-02,2.488232020000000766e-01,-1.470997500000000013e-01
1.600000000000000727e-02,2.486662956000000868e-01,-1.569064000000000014e-01
1.700000000000000816e-02,2.484995825500000977e-01,-1.667130500000000015e-01
1.800000000000000905e-02,2.483230628500001091e-01,-1.765197000000000016e-01
1.900000000000000994e-02,2.481367365000001213e-01,-1.863263500000000017e-01
2.000000000000001082e-02,2.479406035000001340e-01,-1.961330000000000018e-01
2.100000000000001171e-02,2.477346638500001474e-01,-2.059396500000000019e-01
2.200000000000001260e-02,2.475189175500001337e-01,-2.157463000000000020e-01
2.300000000000001349e-02,2.472933646000001207e-01,-2.255529500000000021e-01
2.400000000000001438e-02,2.470580050000001082e-01,-2.353596000000000021e-01
2.500000000000001527e-02,2.468128387500000964e-01,-2.451662500000000022e-01
2.600000000000001615e-02,2.465578658500000853e-01,-2.549729000000000023e-01
2.700000000000001704e-02,2.462930863000000747e-01,-2.647795499999999747e-01
2.800000000000001793e-02,2.460185001000000649e-01,-2.745862000000000025e-01
2.900000000000001882e-02,2.457341072500000556e-01,-2.843928500000000303e-01
3.000000000000001971e-02,2.454399077500000470e-01,-2.941995000000000582e-01
3.100000000000002059e-02,2.451359016000000390e-01,-3.040061500000000860e-01
3.200000000000002148e-02,2.448220888000000317e-01,-3.138128000000001139e-01
3.300000000000002237e-02,2.444984693500000250e-01,-3.236194500000001417e-01
3.400000000000002326e-02,2.441650432500000190e-01,-3.334261000000001696e-01
3.500000000000002415e-02,2.438218105000000135e-01,-3.432327500000001974e-01
3.600000000000002504e-02,2.434687711000000088e-01,-3.530394000000002253e-01
3.700000000000002592e-02,2.431059250500000046e-01,-3.628460500000002531e-01
3.800000000000002681e-02,2.427332723500000011e-01,-3.726527000000002809e-01
3.900000000000002770e-02,2.423508129999999983e-01,-3.824593500000003088e-01
4.000000000000002859e-02,2.419585469999999960e-01,-3.922660000000003366e-01
4.100000000000002948e-02,2.415564743499999945e-01,-4.020726500000003645e-01
4.200000000000003036e-02,2.411445950499999935e-01,-4.118793000000003923e-01
4.300000000000003125e-02,2.407229090999999932e-01,-4.216859500000004202e-01
4.400000000000003214e-02,2.402914164999999935e-01,-4.314926000000004480e-01
4.500000000000003303e-02,2.398501172499999945e-01,-4.412992500000004759e-01
4.600000000000003392e-02,2.393990113499999961e-01,-4.511059000000005037e-01
4.700000000000003481e-02,2.389380987999999983e-01,-4.609125500000005315e-01
4.800000000000003569e-02,2.384673796000000012e-01,-4.707192000000005594e-01
4.900000000000003658e-02,2.379868537500000047e-01,-4.805258500000005872e-01
5.000000000000003747e-02,2.374965212500000089e-01,-4.903325000000006151e-01
5.100000000000003836e-02,2.369963821000000137e-01,-5.001391500000006429e-01
5.200000000000003925e-02,2.364864363000000191e-01,-5.099458000000006708e-01
5.300000000000004013e-02,2.359666838500000252e-01,-5.197524500000006986e-01
5.400000000000004102e-02,2.354371247500000319e-01,-5.295591000000007265e-01
5.500000000000004191e-02,2.348977590000000393e-01,-5.393657500000007543e-01
5.600000000000004280e-02,2.343485866000000473e-01,-5.491724000000007821e-01
5.700000000000004369e-02,2.337896075500000559e-01,-5.589790500000008100e-01
5.800000000000004458e-02,2.332208218500000652e-01,-5.687857000000008378e-01
5.900000000000004546e-02,2.326422295000000751e-01,-5.785923500000008657e-01
6.000000000000004635e-02,2.320538305000000856e-01,-5.883990000000008935e-01
6.100000000000004724e-02,2.314556248500000968e-01,-5.982056500000009214e-01
6.200000000000004813e-02,2.308476125500001086e-01,-6.080123000000009492e-01
6.300000000000004208e-02,2.302297936000001211e-01,-6.178189500000009771e-01
6.400000000000004297e-02,2.296021680000001064e-01,-6.276256000000010049e-01
6.500000000000004385e-02,2.289647357500000924e-01,-6.374322500000010328e-01
6.600000000000004474e-02,2.283174968500000790e-01,-6.472389000000010606e-01
6.700000000000004563e-02,2.276604513000000662e-01,-6.570455500000010884e-01
6.800000000000004652e-02,2.269935991000000541e-01,-6.668522000000011163e-01
6.900000000000004741e-02,2.263169402500000427e-01,-6.766588500000011441e-01
7.000000000000004829e-02,2.256304747500000318e-01,-6.864655000000011720e-01
7.100000000000004918e-02,2.249342026000000216e-01,-6.962721500000011998e-01
7.200000000000005007e-02,2.242281238000000121e-01,-7.060788000000012277e-01
